ABI_SFA_SAPID__c,Name,ABI_DTT_AddressFirstLine__c,ABI_SFA_City__c,ABI_SFA_Address__c,ShippingLatitude,ShippingLongitude
29394655,CHEZ TANTE LUCETTE,B PL DES VOSGES 22,NANCY,B PL DES VOSGES 22 / 54000 NANCY / FR,"48,69018","6,17507"
29394656,CAFE DE LA GARE,QUAR DE LA GARE,MONTBOUCHER SUR JABRON,QUAR DE LA GARE / 26740 MONTBOUCHER SUR JABRON / FR,"44,63716","4,81589"
29394657,RELAIS DE LA CHEVRETTE,QUAR MAUPAS,BERNEX,QUAR MAUPAS / 74500 BERNEX / FR,"46,36042","6,67523"
29394658,SI LE VELAY MÕETAIT CONTE,PL DU PLOT,LE PUY EN VELAY,PL DU PLOT / 43000 LE PUY EN VELAY / FR,"45,02775","3,89563"
29394659,CHEZ D'JO,RTE DE LYON 9,VAUGNERAY,RTE DE LYON 9 / 69670 VAUGNERAY / FR,"45,73798","4,65786"
29394660,LE PALMARIVA,RUE DE LA REPUBLIQUE 92,KNUTANGE,RUE DE LA REPUBLIQUE 92 / 57240 KNUTANGE / FR,"49,34008","6,03831"
29394661,LE CHALET DES MARMOTTES,CHEM L'ECHELLIER .,LES SAISIES,CHEM L&#39;ECHELLIER . / 73620 LES SAISIES / FR,"45,75047","6,58533"
29394662,LA CLE DES CHAMPS,RUE GUILLAUME MOREL 58,LE TEILLEUL,RUE GUILLAUME MOREL 58 / 50640 LE TEILLEUL / FR,"48,54474","-0,89455"
29394663,LE ROCHER TROUE,PL DU CHAMBON,MAYRES,PL DU CHAMBON / 07330 MAYRES / FR,"45,3882","3,69461"
29394664,LE NEW LYS,RUE DU BOURG 7,AIRE LA LYS,RUE DU BOURG 7 / 62120 AIRE LA LYS / FR,,
29394665,LE PEDRO,RUE DU FAUBOURG DE PIERRE 40,CHARLEVILLE MEZIERES,RUE DU FAUBOURG DE PIERRE 40 / 08000 CHARLEVILLE MEZIERES / FR,"49,77498","4,71701"
29394666,LE JARDIN BLEU,RUE DE PEYROLLERIE 7,MILLAU,RUE DE PEYROLLERIE 7 / 12100 MILLAU / FR,"44,09745","3,11727"
29721033,LE BONTEMPS,PLACE DU GENERAL DE GAULLE 2,CUSSAC FORT MEDOC,PLACE DU GENERAL DE GAULLE 2 / 33460 CUSSAC FORT MEDOC / FR,"45,12005","-0,72636"
29721034,L'ENVIE DES METS,RUE MARENGO 2,GARDOUCH,RUE MARENGO 2 / 31290 GARDOUCH / FR,"43,3852","1,67832"
29721035,AU COIN DE LA RUE,RUE PIERRE B?LINGUIER 9,VILLEFRANCHE-DE-LAURAGAIS,RUE PIERRE B?LINGUIER 9 / 31290 VILLEFRANCHE-DE-LAURAGAIS / FR,"43,3984","1,71743"
29721036,LE BARBU,RUE SAINTE BARBE 15,STRASBOURG,RUE SAINTE BARBE 15 / 67000 STRASBOURG / FR,"48,57123","7,76767"
29721037,BUNNY'S BAR,RUE DE L'EPINE 1,STRASBOURG,RUE DE L&#39;EPINE 1 / 67000 STRASBOURG / FR,"48,58004","7,7484"
29721039,KAOFE,EVECHES 22 3,TOUL,EVECHES 22 3 / 54200 TOUL / FR,"48,68341","5,89525"
29721040,BARCO LATINO,PRESQU'ILE ANDRE MALRAUX ANGLE PASSERELL,STRASBOURG,PRESQU&#39;ILE ANDRE MALRAUX ANGLE PASSERELL / 67000 STRASBOURG / FR,"48,57123","7,76767"
29721042,LES COCOTTES DU CUL DE POULE,RUE DE CERNAY 70,REIMS,RUE DE CERNAY 70 / 51100 REIMS / FR,"45,58559","0,7566"
29721043,LE BRESILIEN,RUE DE L'IRARDE - IMM LES BLEUETS 2,LES DEUX ALPES,RUE DE L&#39;IRARDE - IMM LES BLEUETS 2 / 38860 LES DEUX ALPES / FR,"45,00764","6,12193"
29721044,LE RASTRO,ROUTE MERIBEL MOTTARET,MERIBEL,ROUTE MERIBEL MOTTARET / 73550 MERIBEL / FR,"45,93656","6,63122"
29721045,L'ARDOISE,RUE DES FOSSÉS 19,NOGENT-SUR-SEINE,RUE DES FOSSÉS 19 / 10400 NOGENT-SUR-SEINE / FR,"48,49636","3,49965"
29721046,LE TELEGRAPHE,RUE DE ZURICH 59,STRASBOURG,RUE DE ZURICH 59 / 67000 STRASBOURG / FR,"48,57123","7,76767"
29721047,AU MARCHE,PLACE DE CHAMBRE 22,METZ,PLACE DE CHAMBRE 22 / 57000 METZ / FR,"49,10823","6,19598"
29721048,CAMPING LE CLOS MARTIN,RUE DU CLOS MARTIN 5,RAMONCHAMP,RUE DU CLOS MARTIN 5 / 88160 RAMONCHAMP / FR,"47,8958","6,74133"
29721049,LA GRIFFE,RUE BENIT 6,NANCY,RUE BENIT 6 / 54000 NANCY / FR,"48,69018","6,17507"
29721050,DANCING SUNESIS BAR,ZA DE FLORIVOIE 4,GRANGES SUR VOLOGNE,ZA DE FLORIVOIE 4 / 88640 GRANGES SUR VOLOGNE / FR,"48,14536","6,78901"
29721051,MAISON ROUSSEAU,RUE CORNILLON - LES PARCS DE ROCH 1,FONTANIL CORNILLON,RUE CORNILLON - LES PARCS DE ROCH 1 / 69003 FONTANIL CORNILLON / FR,"45,25438","5,66424"
29721052,LA VILLA FANNY,ROUTE NATIONALE 145,STIRING WENDEL,ROUTE NATIONALE 145 / 57350 STIRING WENDEL / FR,"49,19965","6,9283"
29721053,LA TAVERNE FRANCAISE,AV MARSEILLAISE 12,STRASBOURG,AV MARSEILLAISE 12 / 67000 STRASBOURG / FR,"48,57123","7,76767"
29721054,BRASSERIE LE RANCH,STATION PLAINE DE JOUX 0,PLATEAU D'ASSY,STATION PLAINE DE JOUX 0 / 74480 PLATEAU D&#39;ASSY / FR,"48,11128","3,30477"
29721055,BRASSERIE DE LA PEPINIERE,PARC DE LA PEPINIERE,NANCY,PARC DE LA PEPINIERE / 54000 NANCY / FR,"48,696595","6,187185"
29721056,CASA PRESTO,RUE STE GENEVIEVE 25,REIMS,RUE STE GENEVIEVE 25 / 51100 REIMS / FR,"45,58559","0,7566"
29721057,PIZZA BEL OSTIA,RUE MONT D'ARENE 41,REIMS,RUE MONT D&#39;ARENE 41 / 51100 REIMS / FR,"45,58559","0,7566"
